"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 08월 24일","5,980","6,030","6,030","5,840","71.36K","-0.17%"
"2020년 08월 21일","5,990","5,990","6,090","5,890","87.26K","0.00%"
"2020년 08월 20일","5,990","6,370","6,390","5,860","233.06K","-4.77%"
"2020년 08월 19일","6,290","6,390","6,410","6,220","89.00K","0.96%"
"2020년 08월 18일","6,230","6,670","6,670","6,160","285.38K","-6.60%"
"2020년 08월 17일","6,670","6,670","6,670","6,670","-","0.00%"
"2020년 08월 14일","6,670","6,750","6,790","6,580","204.01K","-1.48%"
"2020년 08월 13일","6,770","6,750","6,880","6,700","311.26K","1.50%"
"2020년 08월 12일","6,670","6,700","6,740","6,620","219.52K","-0.60%"
"2020년 08월 11일","6,710","6,730","6,850","6,670","273.04K","-0.15%"
"2020년 08월 10일","6,720","6,850","6,850","6,650","661.28K","-5.62%"
"2020년 08월 09일","7,120","7,120","7,120","7,120","-","0.00%"
"2020년 08월 07일","7,120","6,850","7,790","6,700","2.70M","3.94%"
"2020년 08월 06일","6,850","6,980","6,980","6,760","212.64K","-0.15%"
