일자,총수익지수_종가,총수익지수_대비,순가격지수_종가,순가격지수_대비,제로재투자지수_종가,제로재투자지수_대비,콜재투자지수_종가,콜재투자지수_대비,시장가격지수_종가,시장가격지수_대비,듀레이션,컨벡시티,YTM
"2021/09/23","182.88","-0.19","111.37","-0.12",,,,,,,"4.643","31.684","1.994"
"2021/09/17","183.07","-0.21","111.49","-0.15",,,,,,,"4.659","31.844","1.967"
"2021/09/16","183.28","-0.16","111.64","-0.10",,,,,,,"4.664","31.899","1.941"
"2021/09/15","183.44","0.35","111.74","0.21",,,,,,,"4.668","31.947","1.921"
"2021/09/14","183.09","-0.17","111.53","-0.11",,,,,,,"4.667","31.930","1.962"
"2021/09/13","183.26","-0.40","111.64","-0.15",,,,,,,"4.648","31.679","1.944"
"2021/09/10","183.66","-1.61","111.79","-1.09",,,,,,,"4.659","31.787","1.890"
"2021/09/09","185.27","0.05","112.88","0.02",,,,,,,"4.596","30.868","1.686"
"2021/09/08","185.22","-0.29","112.86","-0.18",,,,,,,"4.601","30.914","1.684"
"2021/09/07","185.51","0.04","113.04","0.02",,,,,,,"4.608","30.994","1.652"
"2021/09/06","185.47","-0.22","113.02","-0.14",,,,,,,"4.624","31.158","1.657"
"2021/09/03","185.69","-0.08","113.16","-0.06",,,,,,,"4.635","31.273","1.629"
"2021/09/02","185.77","-0.03","113.22","-0.02",,,,,,,"4.633","31.246","1.616"
"2021/09/01","185.80","-0.18","113.24","-0.11",,,,,,,"4.636","31.273","1.611"
"2021/08/31","185.98","0.01","113.35","-0.01",,,,,,,"4.640","31.322","1.589"
"2021/08/30","185.97","0.21","113.36","0.13",,,,,,,"4.644","31.362","1.591"
"2021/08/27","185.76","-0.11","113.23","-0.08",,,,,,,"4.644","31.337","1.607"
"2021/08/26","185.87","0.20","113.31","0.12",,,,,,,"4.648","31.390","1.596"
"2021/08/25","185.67","0.02","113.19","0.01",,,,,,,"4.651","31.414","1.626"
"2021/08/24","185.65","-0.42","113.18","-0.26",,,,,,,"4.653","31.435","1.625"
"2021/08/23","186.07","-0.29","113.44","-0.19",,,,,,,"4.662","31.562","1.576"
"2021/08/20","186.36","0.08","113.63","0.04",,,,,,,"4.665","31.571","1.541"
"2021/08/19","186.28","0.19","113.59","0.12",,,,,,,"4.665","31.558","1.545"
"2021/08/18","186.09","0.10","113.47","0.06",,,,,,,"4.666","31.569","1.570"
"2021/08/17","185.99","0.22","113.41","0.12",,,,,,,"4.639","31.200","1.579"
"2021/08/13","185.77","0.02","113.29","0.00",,,,,,,"4.645","31.249","1.595"
"2021/08/12","185.75","0.06","113.29","0.03",,,,,,,"4.652","31.321","1.598"
"2021/08/11","185.69","-0.02","113.26","-0.01",,,,,,,"4.660","31.408","1.604"
"2021/08/10","185.71","0.03","113.27","0.01",,,,,,,"4.665","31.463","1.606"
"2021/08/09","185.68","-0.01","113.26","-0.01",,,,,,,"4.683","31.666","1.612"
"2021/08/06","185.69","-0.18","113.27","-0.12",,,,,,,"4.692","31.761","1.610"
"2021/08/05","185.87","-0.10","113.39","-0.07",,,,,,,"4.697","31.814","1.588"
"2021/08/04","185.97","0.24","113.46","0.15",,,,,,,"4.702","31.870","1.581"
"2021/08/03","185.73","0.03","113.31","0.01",,,,,,,"4.702","31.859","1.607"
"2021/08/02","185.70","-0.14","113.30","-0.09",,,,,,,"4.703","31.859","1.604"
"2021/07/30","185.84","0.09","113.39","0.05",,,,,,,"4.714","31.976","1.586"
"2021/07/29","185.75","-0.17","113.34","-0.11",,,,,,,"4.716","31.995","1.598"
"2021/07/28","185.92","-0.07","113.45","-0.05",,,,,,,"4.721","32.060","1.580"
"2021/07/27","185.99","-0.07","113.50","-0.05",,,,,,,"4.722","32.059","1.562"
"2021/07/26","186.06","0.28","113.55","0.17",,,,,,,"4.726","32.102","1.554"
"2021/07/23","185.78","0.19","113.38","0.11",,,,,,,"4.730","32.137","1.581"
"2021/07/22","185.59","-0.30","113.27","-0.19",,,,,,,"4.731","32.137","1.596"
"2021/07/21","185.89","0.17","113.46","0.10",,,,,,,"4.739","32.233","1.568"
"2021/07/20","185.72","0.56","113.36","0.34",,,,,,,"4.740","32.240","1.588"
"2021/07/19","185.16","0.14","113.02","0.08",,,,,,,"4.737","32.217","1.644"
"2021/07/16","185.02","0.37","112.94","0.21",,,,,,,"4.738","32.217","1.648"
"2021/07/15","184.65","-0.49","112.73","-0.30",,,,,,,"4.738","32.209","1.694"
"2021/07/14","185.14","0.30","113.03","0.18",,,,,,,"4.742","32.246","1.621"
"2021/07/13","184.84","-0.59","112.85","-0.37",,,,,,,"4.741","32.232","1.654"
"2021/07/12","185.43","0.04","113.22","0.02",,,,,,,"4.710","31.807","1.538"
"2021/07/09","185.39","-0.18","113.20","-0.12",,,,,,,"4.717","31.878","1.536"
"2021/07/08","185.57","0.32","113.32","0.19",,,,,,,"4.726","31.981","1.516"
"2021/07/07","185.25","0.64","113.13","0.40",,,,,,,"4.735","32.072","1.559"
"2021/07/06","184.61","0.19","112.73","0.10",,,,,,,"4.730","32.000","1.627"
"2021/07/05","184.42","-0.17","112.63","-0.10",,,,,,,"4.757","32.315","1.696"
"2021/07/02","184.59","-0.17","112.73","-0.12",,,,,,,"4.761","32.339","1.636"
"2021/07/01","184.76","-0.04","112.85","-0.03",,,,,,,"4.764","32.380","1.614"
"2021/06/30","184.80","0.12","112.88","0.07",,,,,,,"4.766","32.397","1.604"
"2021/06/29","184.68","0.31","112.81","0.19",,,,,,,"4.767","32.397","1.615"
"2021/06/28","184.37","-0.31","112.62","-0.19",,,,,,,"4.766","32.377","1.645"
"2021/06/25","184.68","-0.45","112.81","-0.30",,,,,,,"4.781","32.550","1.611"
"2021/06/24","185.13","-0.22","113.11","-0.13",,,,,,,"4.788","32.626","1.555"
"2021/06/23","185.35","0.02","113.24","0.00",,,,,,,"4.791","32.652","1.522"
"2021/06/22","185.33","-0.18","113.24","-0.11",,,,,,,"4.793","32.671","1.521"
"2021/06/21","185.51","0.12","113.35","0.07",,,,,,,"4.805","32.866","1.512"
"2021/06/18","185.39","0.30","113.28","0.17",,,,,,,"4.808","32.881","1.508"
"2021/06/17","185.09","-0.20","113.11","-0.12",,,,,,,"4.795","32.698","1.534"
"2021/06/16","185.29","0.10","113.23","0.05",,,,,,,"4.798","32.733","1.505"
"2021/06/15","185.19","-0.04","113.18","-0.02",,,,,,,"4.800","32.752","1.519"
"2021/06/14","185.23","1.75","113.20","1.06",,,,,,,"4.767","32.293","1.501"
"2021/06/11","183.48","-1.49","112.14","-0.71",,,,,,,"4.727","31.727","1.611"
"2021/06/10","184.97","-0.23","112.85","-0.35",,,,,,,"4.785","32.492","1.565"
"2021/06/09","185.20","0.22","113.20","0.13",,,,,,,"4.463","29.626","1.493"
"2021/06/08","184.98","0.36","113.07","0.21",,,,,,,"4.465","29.643","1.525"
"2021/06/07","184.62","0.17","112.86","0.11",,,,,,,"4.465","29.692","1.568"
"2021/06/04","184.45","-0.03","112.75","-0.03",,,,,,,"4.470","29.725","1.580"
"2021/06/03","184.48","0.08","112.78","0.04",,,,,,,"4.472","29.738","1.570"
"2021/06/02","184.40","-0.05","112.74","-0.04",,,,,,,"4.474","29.753","1.576"
"2021/06/01","184.45","0.05","112.78","0.03",,,,,,,"4.478","29.803","1.574"
"2021/05/31","184.40","-0.47","112.75","-0.29",,,,,,,"4.481","29.834","1.583"
"2021/05/28","184.87","-0.16","113.04","-0.11",,,,,,,"4.499","30.014","1.522"
"2021/05/27","185.03","0.20","113.15","0.12",,,,,,,"4.504","30.073","1.498"
"2021/05/26","184.83","-0.02","113.03","-0.02",,,,,,,"4.505","30.090","1.527"
"2021/05/25","184.85","-0.10","113.05","-0.06",,,,,,,"4.507","30.098","1.518"
"2021/05/24","184.95","-0.08","113.11","-0.05",,,,,,,"4.511","30.190","1.503"
"2021/05/21","185.03","0.15","113.16","0.08",,,,,,,"4.515","30.208","1.486"
"2021/05/20","184.88","-0.12","113.08","-0.08",,,,,,,"4.516","30.218","1.501"
"2021/05/18","185.00","0.01","113.16","0.00",,,,,,,"4.524","30.297","1.489"
"2021/05/17","184.99","0.29","113.16","0.18",,,,,,,"4.506","30.068","1.489"
"2021/05/14","184.70","0.03","112.98","0.00",,,,,,,"4.510","30.089","1.513"
"2021/05/13","184.67","-0.19","112.98","-0.12",,,,,,,"4.517","30.153","1.517"
"2021/05/12","184.86","0.08","113.10","0.05",,,,,,,"4.523","30.220","1.500"
"2021/05/11","184.78","0.04","113.05","0.02",,,,,,,"4.534","30.331","1.510"
"2021/05/10","184.74","0.01","113.03","0.00",,,,,,,"4.549","30.517","1.517"
"2021/05/07","184.73","-0.13","113.03","-0.09",,,,,,,"4.558","30.609","1.519"
"2021/05/06","184.86","0.18","113.12","0.11",,,,,,,"4.564","30.676","1.509"
"2021/05/04","184.68","-0.05","113.01","-0.04",,,,,,,"4.567","30.690","1.527"
"2021/05/03","184.73","0.02","113.05","0.01",,,,,,,"4.570","30.722","1.518"
"2021/04/30","184.71","-0.22","113.04","-0.15",,,,,,,"4.581","30.829","1.517"
"2021/04/29","184.93","-0.10","113.19","-0.06",,,,,,,"4.587","30.892","1.491"
"2021/04/28","185.03","-0.10","113.25","-0.07",,,,,,,"4.591","30.937","1.478"
"2021/04/27","185.13","0.19","113.32","0.11",,,,,,,"4.594","30.969","1.465"
"2021/04/26","184.94","-0.22","113.21","-0.13",,,,,,,"4.596","31.034","1.484"
"2021/04/23","185.16","-0.26","113.34","-0.18",,,,,,,"4.609","31.179","1.466"
"2021/04/22","185.42","0.10","113.52","0.06",,,,,,,"4.611","31.201","1.441"
"2021/04/21","185.32","0.04","113.46","0.02",,,,,,,"4.613","31.212","1.450"
